Year,Date,Hour,Demand,Temperature
2011,2011-01-11,24,1995,24
2011,2011-01-12,1,1877,24
2011,2011-01-12,2,1816,23
2011,2011-01-12,3,1781,24
2011,2011-01-12,4,1772,25
2011,2011-01-12,5,1805,25
2011,2011-01-12,6,1891,24
2011,2011-01-12,7,2032,24
2011,2011-01-12,8,2135,22
2011,2011-01-12,9,2238,22
2011,2011-01-12,10,2341,22
2011,2011-01-12,11,2412,22
2011,2011-01-12,12,2454,21
2011,2011-01-12,13,2460,22
2011,2011-01-12,14,2443,22
2011,2011-01-12,15,2412,22
2011,2011-01-12,16,2405,23
2011,2011-01-12,17,2520,23
2011,2011-01-12,18,2714,23
2011,2011-01-12,19,2662,23
2011,2011-01-12,20,2560,22
2011,2011-01-12,21,2443,21
2011,2011-01-12,22,2284,21
2011,2011-01-12,23,2088,20
2011,2011-01-12,24,1933,21
2011,2011-01-13,1,1828,21
2011,2011-01-13,2,1775,21
2011,2011-01-13,3,1752,21
2011,2011-01-13,4,1761,20
2011,2011-01-13,5,1807,20
2011,2011-01-13,6,1963,20
2011,2011-01-13,7,2224,19
2011,2011-01-13,8,2372,19
2011,2011-01-13,9,2415,19
2011,2011-01-13,10,2419,20
2011,2011-01-13,11,2425,22
2011,2011-01-13,12,2425,24
2011,2011-01-13,13,2406,25
2011,2011-01-13,14,2399,25
2011,2011-01-13,15,2380,26
2011,2011-01-13,16,2380,25
2011,2011-01-13,17,2505,22
2011,2011-01-13,18,2701,20
2011,2011-01-13,19,2698,19
2011,2011-01-13,20,2644,18
2011,2011-01-13,21,2553,17
2011,2011-01-13,22,2408,17
2011,2011-01-13,23,2210,16
2011,2011-01-13,24,2040,16
2011,2011-01-14,1,1932,16
2011,2011-01-14,2,1874,15
2011,2011-01-14,3,1854,13
2011,2011-01-14,4,1861,13
2011,2011-01-14,5,1902,12
2011,2011-01-14,6,2064,11
2011,2011-01-14,7,2346,11
2011,2011-01-14,8,2499,11
2011,2011-01-14,9,2525,11
2011,2011-01-14,10,2543,12
2011,2011-01-14,11,2532,14
2011,2011-01-14,12,2517,15
2011,2011-01-14,13,2481,17
2011,2011-01-14,14,2452,18
2011,2011-01-14,15,2406,19
2011,2011-01-14,16,2396,19
2011,2011-01-14,17,2500,17
2011,2011-01-14,18,2673,15
2011,2011-01-14,19,2652,11
2011,2011-01-14,20,2594,13
2011,2011-01-14,21,2521,13
2011,2011-01-14,22,2413,11
2011,2011-01-14,23,2259,11
2011,2011-01-14,24,2101,11
2011,2011-01-15,1,2001,11
2011,2011-01-15,2,1935,11
2011,2011-01-15,3,1906,10
2011,2011-01-15,4,1896,9
2011,2011-01-15,5,1913,10
2011,2011-01-15,6,1972,8
2011,2011-01-15,7,2082,7
